player_id,game_date,stat,line,direction,predicted_prob,hit
"(1629014, '2024-25')",2024-11-10,ASSISTS,5,over,0.5565,0
"(1629014, '2024-25')",2024-11-10,PRA,26,over,0.4424,0
"(1630166, '2024-25')",2024-11-10,POINTS,10,under,0.4437,1
"(1630166, '2024-25')",2024-11-10,REBOUNDS,6,under,0.4601,1
"(1630166, '2024-25')",2024-11-10,ASSISTS,3,over,0.5572,1
"(1630166, '2024-25')",2024-11-10,PRA,19,over,0.5393,0
"(1630534, '2024-25')",2024-11-10,POINTS,14,under,0.3666,0
"(1630534, '2024-25')",2024-11-10,REBOUNDS,5,under,0.5344,0
"(1630534, '2024-25')",2024-11-10,ASSISTS,2,over,0.7581,0
"(1630534, '2024-25')",2024-11-10,PRA,21,under,0.4074,0
"(1642347, '2024-25')",2024-11-10,POINTS,5,over,0.6134,0
"(1642347, '2024-25')",2024-11-10,REBOUNDS,1,over,0.6201,0
"(1642347, '2024-25')",2024-11-10,ASSISTS,4,over,0.5768,0
"(1642347, '2024-25')",2024-11-10,PRA,10,under,0.4089,1
"(1630558, '2024-25')",2024-11-10,POINTS,10,over,0.5765,0
"(1630558, '2024-25')",2024-11-10,REBOUNDS,2,over,0.7332,1
"(1630558, '2024-25')",2024-11-10,ASSISTS,6,over,0.725,0
"(1630558, '2024-25')",2024-11-10,PRA,19,under,0.4359,1
"(1642367, '2024-25')",2024-11-10,POINTS,6,over,0.4929,0
"(1642367, '2024-25')",2024-11-10,REBOUNDS,4,under,0.358,1
"(1642367, '2024-25')",2024-11-10,ASSISTS,2,under,0.2732,1
"(1642367, '2024-25')",2024-11-10,PRA,12,over,0.5822,0
"(1641711, '2024-25')",2024-11-10,POINTS,19,over,0.6094,0
"(1641711, '2024-25')",2024-11-10,REBOUNDS,3,under,0.5406,1
"(1641711, '2024-25')",2024-11-10,ASSISTS,2,over,0.7409,1
"(1641711, '2024-25')",2024-11-10,PRA,24,over,0.5813,0
"(1628449, '2024-25')",2024-11-10,POINTS,11,under,0.4549,0
"(1628449, '2024-25')",2024-11-10,REBOUNDS,4,under,0.2737,0
"(1628449, '2024-25')",2024-11-10,ASSISTS,1,over,0.5209,1
"(1628449, '2024-25')",2024-11-10,PRA,16,under,0.4391,0
"(1629660, '2024-25')",2024-11-11,POINTS,10,under,0.5142,0
"(1629660, '2024-25')",2024-11-11,REBOUNDS,2,over,0.5997,1
"(1629660, '2024-25')",2024-11-11,ASSISTS,3,over,0.7305,1
"(1629660, '2024-25')",2024-11-11,PRA,15,over,0.5105,1
"(1630171, '2024-25')",2024-11-11,POINTS,6,over,0.563,0
"(1630171, '2024-25')",2024-11-11,REBOUNDS,2,over,0.7175,0
"(1630171, '2024-25')",2024-11-11,ASSISTS,2,under,0.4465,1
"(1630171, '2024-25')",2024-11-11,PRA,10,under,0.4216,1
"(1630581, '2024-25')",2024-11-11,POINTS,13,under,0.4365,0
"(1630581, '2024-25')",2024-11-11,REBOUNDS,6,over,0.5753,1
"(1630581, '2024-25')",2024-11-11,ASSISTS,7,over,0.5421,1
"(1630581, '2024-25')",2024-11-11,PRA,27,over,0.4874,1
"(1631207, '2024-25')",2024-11-11,POINTS,4,under,0.38,0
"(1631207, '2024-25')",2024-11-11,REBOUNDS,2,over,0.6513,1
"(1631207, '2024-25')",2024-11-11,ASSISTS,1,over,0.6443,0
"(1631207, '2024-25')",2024-11-11,PRA,8,over,0.5133,1
"(1629632, '2024-25')",2024-11-11,POINTS,19,over,0.5245,1
"(1629632, '2024-25')",2024-11-11,REBOUNDS,3,over,0.6191,1
"(1629632, '2024-25')",2024-11-11,ASSISTS,5,over,0.5796,1
"(1629632, '2024-25')",2024-11-11,PRA,28,under,0.5124,0
"(1627777, '2024-25')",2024-11-11,POINTS,6,over,0.6697,1
"(1627777, '2024-25')",2024-11-11,REBOUNDS,3,under,0.325,0
"(1627777, '2024-25')",2024-11-11,ASSISTS,1,under,0.2913,1
"(1627777, '2024-25')",2024-11-11,PRA,11,over,0.6139,1
"(1628378, '2024-25')",2024-11-11,POINTS,22,under,0.3962,0
"(1628378, '2024-25')",2024-11-11,REBOUNDS,3,under,0.3395,0
"(1628378, '2024-25')",2024-11-11,ASSISTS,4,under,0.3811,1
"(1628378, '2024-25')",2024-11-11,PRA,29,under,0.5067,0
"(1629636, '2024-25')",2024-11-11,POINTS,21,under,0.54,1
"(1629636, '2024-25')",2024-11-11,REBOUNDS,2,over,0.6287,1
"(1629636, '2024-25')",2024-11-11,ASSISTS,7,over,0.6178,0
"(1629636, '2024-25')",2024-11-11,PRA,29,over,0.5099,0
"(1630241, '2024-25')",2024-11-11,POINTS,8,over,0.5577,0
"(1630241, '2024-25')",2024-11-11,REBOUNDS,2,over,0.5667,0
"(1630241, '2024-25')",2024-11-11,ASSISTS,1,over,0.7241,1
"(1630241, '2024-25')",2024-11-11,PRA,11,under,0.4958,1
"(1630172, '2024-25')",2024-11-11,POINTS,9,over,0.5488,1
"(1630172, '2024-25')",2024-11-11,REBOUNDS,5,under,0.4182,0
"(1630172, '2024-25')",2024-11-11,ASSISTS,2,over,0.5787,1
"(1630172, '2024-25')",2024-11-11,PRA,15,over,0.6272,1
"(1630245, '2024-25')",2024-11-11,POINTS,11,under,0.467,1
"(1630245, '2024-25')",2024-11-11,REBOUNDS,5,under,0.5021,1
"(1630245, '2024-25')",2024-11-11,ASSISTS,4,under,0.4339,0
"(1630245, '2024-25')",2024-11-11,PRA,20,under,0.498,1
"(1641763, '2024-25')",2024-11-11,POINTS,5,over,0.5791,0
"(1641763, '2024-25')",2024-11-11,REBOUNDS,2,over,0.5771,1
"(1641763, '2024-25')",2024-11-11,PRA,7,under,0.4115,1
"(1630224, '2024-25')",2024-11-11,POINTS,20,under,0.5326,1
"(1630224, '2024-25')",2024-11-11,REBOUNDS,5,under,0.5548,1
"(1630224, '2024-25')",2024-11-11,ASSISTS,3,under,0.4005,1
"(1630224, '2024-25')",2024-11-11,PRA,28,over,0.4691,0
"(1631106, '2024-25')",2024-11-11,POINTS,12,under,0.4059,1
"(1631106, '2024-25')",2024-11-11,REBOUNDS,5,under,0.3254,0
"(1631106, '2024-25')",2024-11-11,ASSISTS,1,under,0.3283,0
"(1631106, '2024-25')",2024-11-11,PRA,19,over,0.5639,0
"(1628415, '2024-25')",2024-11-11,POINTS,12,under,0.5291,1
"(1628415, '2024-25')",2024-11-11,REBOUNDS,4,over,0.4486,1
"(1628415, '2024-25')",2024-11-11,ASSISTS,1,over,0.5297,1
"(1628415, '2024-25')",2024-11-11,PRA,17,under,0.5514,1
"(1641708, '2024-25')",2024-11-11,POINTS,10,under,0.4326,0
"(1641708, '2024-25')",2024-11-11,REBOUNDS,6,over,0.5927,1
"(1641708, '2024-25')",2024-11-11,ASSISTS,2,over,0.7094,0
"(1641708, '2024-25')",2024-11-11,PRA,18,under,0.501,0
"(1642263, '2024-25')",2024-11-11,POINTS,3,over,0.7188,1
"(1642263, '2024-25')",2024-11-11,REBOUNDS,1,under,0.3026,0
"(1642263, '2024-25')",2024-11-11,ASSISTS,2,under,0.4406,1
"(1642263, '2024-25')",2024-11-11,PRA,7,over,0.4748,1
"(1631095, '2024-25')",2024-11-11,POINTS,11,under,0.3927,0
"(1631095, '2024-25')",2024-11-11,REBOUNDS,6,under,0.3288,0
"(1631095, '2024-25')",2024-11-11,ASSISTS,1,under,0.403,1
"(1631095, '2024-25')",2024-11-11,PRA,18,over,0.5819,1
"(1627742, '2024-25')",2024-11-11,POINTS,23,under,0.4008,0
"(1627742, '2024-25')",2024-11-11,REBOUNDS,6,over,0.6268,0
"(1627742, '2024-25')",2024-11-11,ASSISTS,5,over,0.5835,1
"(1627742, '2024-25')",2024-11-11,PRA,33,under,0.4397,0
"(1630631, '2024-25')",2024-11-11,POINTS,12,over,0.5718,0
"(1630631, '2024-25')",2024-11-11,REBOUNDS,3,over,0.468,0
"(1630631, '2024-25')",2024-11-11,ASSISTS,5,under,0.3419,1
